type,uri,dc.id,collection,notation,"prefLabel",altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,type_status,layer,typevoorschrift,typevoorschriften.uitdovend
skos:Concept,ct:01102_01,,,01102_01,"stationsomgeving",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:01103_00,,,01103_00,"gebied voor gemengde stedelijke aktiviteiten",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:01103_01,,,01103_01,"gebied voor gemengde stedelijke aktiviteiten",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:01104_00,,,01104_00,"cultuurhistorisch woongebied",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:X1,,,X1,"terrein voor doortrekkers",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,,ONWAAR,ONWAAR
skos:Concept,ct:01106_01,,,01106_01,"reservegebied voor wonen",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:01106_00,,,01106_00,"reservegebied voor wonen",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:01107_00,,,01107_00,"strategisch woonproject",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:01108_02,,,01108_02,"gebied voor wonen en landbouw",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,WAAR
skos:Concept,ct:01108_00,,,01108_00,"gebied voor wonen en landbouw",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,WAAR
skos:Concept,ct:01108_01,,,01108_01,"gebied voor wonen en landbouw",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,WAAR
skos:Concept,ct:01109_00,,,01109_00,"Landelijk woongebied met culturele, historische en/of esthetische waarde",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:01109_01,,,01109_01,"Landelijk woongebied met culturele, historische en/of esthetische waarde",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:01110_01,,,01110_01,"randstedelijk wonen",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,L,ov,ONWAAR,ONWAAR
skos:Concept,ct:01110_02,,,01110_02,"randstedelijk wonen",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,L,gv,ONWAAR,ONWAAR
skos:Concept,ct:X2,,,X2,"bestaande woningen",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,/,,ONWAAR,ONWAAR
skos:Concept,ct:01112_00,,,01112_00,"stationsplein",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,ov,ONWAAR,ONWAAR
skos:Concept,ct:01113_00,,,01113_00,"woonwagenpark",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:01114_00,,,01114_00,"bouwvrij wonen",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,detail,ONWAAR,ONWAAR
skos:Concept,ct:01115_00,,,01115_00,"gemengde aktiviteiten",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:X3,,,X3,"zone voor wonen en park",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,,ONWAAR,ONWAAR
