recordtype,id,type,dc.identifier,dc.language,dc.source,isVersionOf,hasVersion,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
CATALOG,omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-plan_legende,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATASET,omg_dataset:codelijst-plan_legende,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-plan_legende,nl,NA,NA,NA,Dataset codelijst plan_legende,"Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid.",omg_dataset:codelijst-plan_legende,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst plan_legende,omg_conceptscheme:plan_legende,Codelijst plan_legende,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-plan_legende.html,frequency:IRREG,omg_periodoftime:dataset_omg,NA,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DATASET,omg_dataset:codelijst-plan_legende,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-plan_legende,nl,NA,omg_dataset:codelijst-plan_legende,NA,Dataset codelijst plan_legende,"Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid.",omg_dataset:codelijst-plan_legende,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst plan_legende,omg_conceptscheme:plan_legende,Codelijst plan_legende,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-plan_legende.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-plan_legende.plan_legende_csv|omg_distribution:codelijst-plan_legende.plan_legende_jsonld|omg_distribution:codelijst-plan_legende.plan_legende_ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-plan_legende,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-plan_legende.plan_legende_csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-plan_legende.plan_legende_csv,NA,NA,NA,NA,NA,"Codelijst plan_legende, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-plan_legende.plan_legende.csv,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst plan_legende in text/csv formaat.,NA,"Codelijst plan_legende, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-plan_legende.plan_legende.csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-plan_legende.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-plan_legende.plan_legende.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-plan_legende.plan_legende_jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-plan_legende.plan_legende_jsonld,NA,NA,NA,NA,NA,"Codelijst plan_legende, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-plan_legende.plan_legende.jsonld,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst plan_legende in jsonld rdf-formaat.,NA,"Codelijst plan_legende, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-plan_legende.plan_legende.jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-plan_legende.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-plan_legende.plan_legende.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-plan_legende.plan_legende_ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-plan_legende.plan_legende_ttl,NA,NA,NA,NA,NA,"Codelijst plan_legende, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-plan_legende.plan_legende.ttl,10/09/2022,NA,NA,NA,ovo:OVO003751,NA,Codelijst plan_legende in Turtle rdf-formaat.,NA,"Codelijst plan_legende, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-plan_legende.plan_legende.ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-plan_legende.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-plan_legende.plan_legende.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
VERSIE-PACKAGE,omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-plan_legende,spdx:Package|dcat:Distribution,be.vlaanderen.omgeving.data.id.graph.codelijst-plan_legende,NA,NA,NA,NA,NA,"Codelijst plan_legende, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-plan_legende,13/02/2023,NA,NA,NA,ovo:OVO003751,NA,Codelijst plan_legende in jar-formaat.,NA,Package codelijst-plan_legende,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
